青葉190518,青葉　01,あおばいんさつ,青葉印刷株式会社,100,英文パンフレット,,,,370,枚,1,式,100,枚,事務所,2019/5/18,,,,,,,,,,,,,,,,
青葉210331-1,青葉　01,あおばいんさつ,青葉印刷株式会社,100,デザイン修正,修正単位　1項　（製品案内 A4）,,,5000,項,,項,,,事務所,2021/3/31,,,,,,,,,,,,,,,,
青葉230213,青葉　01,あおばいんさつ,青葉印刷株式会社,100,デザイン修正,修正単位　1項　（製品案内 A4）,,,4000,項,,項,,,事務所,2023/2/13,,,,,,,,,,,,,,,,
青葉210331-2,青葉　01,あおばいんさつ,青葉印刷株式会社,100,製品案内リーフレット（A4）,注文単位：100部,,,135,部,,部,,,事務所,2021/3/31,,,,,,,,,,,,,,,,
青葉220728-02,青葉　01,あおばいんさつ,青葉印刷株式会社,100,製品案内リーフレット（A4）,注文単位：100部,,R04.07.28より,155,部,,部,,,事務所,2023/2/6,No.24829,,約1週間,,,,,,,,,,,,,
青葉220728,青葉　01,あおばいんさつ,青葉印刷株式会社,100,製品案内リーフレット（A4）,注文単位：200部,,R04.07.28より,95,部,,部,,,事務所,2023/2/6,No.24829,,約1週間,,,,,,,,,,,,,
青葉230619,青葉　01,あおばいんさつ,青葉印刷株式会社,100,会社案内（和文）,注文単位：100部,,,420,部,,部,,,事務所,2023/6/19,No.25166,,約7営業日,,,,,,,,,,,,,
青葉230619-1,青葉　01,あおばいんさつ,青葉印刷株式会社,100,会社案内（和文）,注文単位：200部,,,275,部,,部,,,事務所,2023/6/19,No.25166,,約7営業日,,,,,,,,,,,,,
青葉230912-1,青葉　01,あおばいんさつ,青葉印刷株式会社,100,コンパクトエコバック・ブルー,注文単位：50枚,印刷、加工、包装、納品,,1440,枚,,枚,,,事務所,2023/9/12,No.25757,,約7営業日,,,,,,,,,,,,,
青葉230912-2,青葉　01,あおばいんさつ,青葉印刷株式会社,100,コンパクトエコバック・ブルー,注文単位：100枚,印刷、加工、包装、納品,,1200,枚,,枚,,,事務所,2023/9/12,No.25757,,約7営業日,,,,,,,,,,,,,
青葉230912-3,青葉　01,あおばいんさつ,青葉印刷株式会社,100,コンパクトエコバック・ブルー,注文単位：150枚,印刷、加工、包装、納品,,1180,枚,,枚,,,事務所,2023/9/12,No.25757,,約7営業日,,,,,,,,,,,,,
浅野20201030-01,浅野01,あさのざいもくてん,㈱浅野材木店　倉敷営業所,20,耐水べニヤ板,シェルにて使用　両面スポンジ貼り付け緩衝板用,5.5ｍ/ｍ　910*1820,,820,枚,,,,,,,,,,,,,,,,,,,,,,
浅野20201030-02,浅野01,あさのざいもくてん,㈱浅野材木店　倉敷営業所,20,ベニヤ カット代,シェルにて使用　両面スポンジ貼り付け緩衝板用,※半分にカット（910*910）,,20,枚,,,,,,,,,,,,,,,,,,,,,,
浅野201204-01,浅野01,あさのざいもくてん,㈱浅野材木店　倉敷営業所,12,材木,,松　15*150*4000,,680,枚,,枚,,,フラン,2020/12/4,,,,,,,,,,,,,,,,
浅野201204-02,浅野01,あさのざいもくてん,㈱浅野材木店　倉敷営業所,12,材木,,松　50*50*4000,,750,枚,,枚,,,フラン,2020/12/4,,,,,,,,,,,,,,,,
安良田 220921-01,安良田01,あらたこうぎょうしょ,㈱安良田工業所,30,S45C　エプロンコンベア①製作,"梱包、運賃　1式33,500円",,※図面要,"37,230.00 ",組,,組,,,荷受,2022/9/28,5-221321,新規,1ヶ月,,,,,,,,,,,,,
あさひ印刷240514-1,あさひ01,あさひいんさつ,株式会社あさひ印刷,100,名刺　オンデマンド印刷　片面カラー,100枚,100枚/ロット,役員の名刺のみ　2024.04～,20.00 ,枚,,枚,,,事務所,2024/5/14,,新規,1～3日,,,,,,,,,,,,,
あさひ印刷240514-2,あさひ01,あさひいんさつ,株式会社あさひ印刷,100,名刺　オンデマンド印刷　両面カラー,100枚,100枚/ロット,役員の名刺のみ　2024.04～,30.00 ,枚,,枚,,,事務所,2024/5/14,,新規,1～3日,,,,,,,,,,,,,
石原008-00,石原01,いしはらぱっきん,㈱石原パッキング工業,,湯口棒（FBM用）　ウレタン90°　M12穴金具付き,,Φ32/Φ32*150L,,"4,400.00 ",本,,本,,,FBOX,2008/11/19,ー,注文,,,,,,,,,,,,,,
石原006-00,石原01,いしはらぱっきん,㈱石原パッキング工業,,ブローノズル 　下型,,UHMW　20*89*115（長穴大）,,"2,700.00 ",枚,,,,,FBOX,2008/9/1,200901,注文,,,,,,,,,,,,,,
石原007-00,石原01,いしはらぱっきん,㈱石原パッキング工業,,ブローノズル 　下型,,UHMW　20*89*115（長穴小）,,"2,700.00 ",枚,,,,,FBOX,2008/9/1,200901,注文,,,,,,,,,,,,,,
石原005-00,石原01,いしはらぱっきん,㈱石原パッキング工業,, ,,,,"49,500.00 ",個,2,個,,,FBOX,2008/4/18,再発注,,,,,,,,,,,,,,,
石原008-①　140602,石原01,いしはらぱっきん,㈱石原パッキング工業,,ウレタンゴム,,FBOXクッション側シリンダー　AK2-03-04-1,1個の場合,"1,900.00 ",個,,個,,,,,,,,,,,,,,,,,,,,
石原008-⑤　140602,石原01,いしはらぱっきん,㈱石原パッキング工業,,ウレタンゴム,,FBOXクッション側シリンダー　AK2-03-04-1,5個の場合,"1,600.00 ",個,,個,,,,,,,,,,,,,,,,,,,,
石原008-⑩　140602,石原01,いしはらぱっきん,㈱石原パッキング工業,,ウレタンゴム,,FBOXクッション側シリンダー　AK2-03-04-1,10個の場合,"1,450.00 ",個,,個,,,,,,,,,,,,,,,,,,,,
石原250121-01,石原01,いしはらぱっきん,㈱石原パッキング工業,10,ウレタン＃90　,琴浦からの金具支給に120日、ウレタン制作と金具取付に1ヵ月⇒発注日から5ヵ月後の納期設定すること,D4327　14-19*845,,"3,100.00 ",個,8,個,,,APS,2025/1/21,,値上げ,支給日より約1ヶ月,,,,,,,,,,,,,
石原250121-02,石原01,いしはらぱっきん,㈱石原パッキング工業,10,ウレタン＃90　,琴浦からの金具支給に120日、ウレタン制作と金具取付に1ヵ月⇒発注日から5ヵ月後の納期設定すること,D4328　14-19*645,,"2,600.00 ",個,8,個,,,APS,2025/1/21,,値上げ,支給日より約1ヶ月,,,,,,,,,,,,,
石原230720-03,石原01,いしはらぱっきん,㈱石原パッキング工業,10,ウレタン＃100-90　,ウレタン　黄色の半透明の角棒,20*35*930　５－ザグリ,,"5,000.00 ",個,,個,,,APS,2023/7/20,,値上げ,10日間,,,,,,,,,,,,,
石原230720-04,石原01,いしはらぱっきん,㈱石原パッキング工業,10,ウレタン＃100-90　,ウレタン　黄色の半透明の角棒,20*35*700　４－ザグリ,,"4,800.00 ",個,,個,,,APS,2023/7/20,,値上げ,10日間,,,,,,,,,,,,,
石原009-141216,石原01,いしはらぱっきん,㈱石原パッキング工業,,FBOシール　L型ウレタン90°,FBO スクイーズボード,,,"5,000.00 ",個,,個,,,FBOX,,,,,,,,,,,,,,,,,
石原-111112-01,石原01,いしはらぱっきん,㈱石原パッキング工業,,押出し板,,1F7310A2045,,"6,500.00 ",枚,,枚,,,,,,,,,,,,,,,,,,,,
石原-160514,石原01,いしはらぱっきん,㈱石原パッキング工業,,ウレタン90°,黄色の円形で穴が４つ　高さ45mm,45T*100Φ*PCD70Φ　4ザグリ,,"3,400.00 ",個,,個,,,FBOX,,,,,,,,,,,,,,,,,
石原　180522-01,石原01,いしはらぱっきん,㈱石原パッキング工業,,PE(N) Y3-121745 φ90*109,1個注文の場合,,,"16,700.00 ",個,,個,,,FBOX,,,,,,,,,,,,,,,,,
石原　180522-02,石原01,いしはらぱっきん,㈱石原パッキング工業,,PE(N) Y3-121745 φ90*109,3個注文の場合,,,"12,800.00 ",個,,個,,,FBOX,,,,,,,,,,,,,,,,,
石原　180522-03,石原01,いしはらぱっきん,㈱石原パッキング工業,,PE(N) Y3-121745 φ90*109,5個注文の場合,,,"10,200.00 ",個,,個,,,FBOX,,,,,,,,,,,,,,,,,
石原　180613,石原01,いしはらぱっきん,㈱石原パッキング工業,,シェルマシン用ゴムパッキン　NRゴム,,,,"3,200.00 ",個,,個,,,シェル工場,,,,,,,,,,,,,,,,,
石原210730-01,石原01,いしはらぱっきん,㈱石原パッキング工業,,Aピン　25Φ*3H,,MCナイロン　青,,400.00 ,個,,個,,,シェル工場,,,,,,,,,,,,,,,,,
石原 220914-01,石原01,いしはらぱっきん,㈱石原パッキング工業,11,Nスクレーパ,,1F2440A2069,※見積依頼は図面も送る,"1,400.00 ",枚　,,枚,,,FBOX,2022/9/14,,,7～10日,,,,,,,,,,,,,
石原 230407,石原01,いしはらぱっきん,㈱石原パッキング工業,10,ウレタン90°,ゴムウレタンライナ,54Φ*18H,,850.00 ,個,,個,,,APS,2023/4/7,,,1週間,,,,,,,,,,,,,
石原 240610,石原01,いしはらぱっきん,㈱石原パッキング工業,11,押し出し/クッションシリンダー先端クッションゴム,,ウレタン90°,,"2,500.00 ",個,,個,,,FBOX,2024/6/10,,,1週間,,,,,,,,,,,,,
石原 240701-01,石原01,いしはらぱっきん,㈱石原パッキング工業,11,スペーサ 3T,エアレーションタンク部,1F6320A0084,厚み3mm,"3,800.00 ",枚,,枚,,,FBOX,2024/7/23,,,10日間,,,,,,,,,,,,,
石原 240701-02,石原01,いしはらぱっきん,㈱石原パッキング工業,11,スペーサ 5T,エアレーションタンク部,1F6320A0084,厚み5mm 貼り合わせ品,"7,400.00 ",枚,,枚,,,FBOX,2024/7/23,,,10日間,,,,,,,,,,,,,
石原 241129,石原01,いしはらぱっきん,㈱石原パッキング工業,11,ポリエチレン 湯口カップ,,Φ85ｘ109ｘ図,,"22,500.00 ",個,,個,,,FBOX,2024/12/3,,,4～5週間,,,,,,,,,,,,,
井上01-00-150307,井上　01,いのうえめたる,㈲井上メタル興業,,ポンチ(マメ),,,,40.00 ,KG,,KG,,,,,,,,,,,,,,,,,,,,
井上01-00-090123,井上　01,いのうえめたる,㈲井上メタル興業,,新断プレス,,,,別途打合,KG,,KG,,,,,,,,,,,,,,,,,,,,
猪木230626-03,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,酸素(7㎥),口頭注文,,7/1出荷分より,"3,590.00 ",本,,本,,,指定場所,2023/2/1,,値上げ,1日,,,,,,,,,,,,,
猪木250401,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,アセチレン,1本＝7kg,,4/1納品分より,"21,770.00 ",本,,本,,,指定場所,2025/4/1,,値上げ,1日,,,,,,,,,,,,,
猪木  200324-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,アセチレン充填手数料,,,,"1,700.00 ",本,,本,,,-,,,,,,,,,,,,,,,,,
猪木230626-04,猪木01,いぎさんそ,㈲猪木酸素玉島店,20,炭酸ガス(30kg),7/1出荷分より,,,"5,150.00 ",本,,本,,,指定場所,2023/6/26,,,1日,,,,,,,,,,,,,
猪木230626-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,60,高純度アルゴン(7㎥),アルゴンガス　品管より注文,,7/1出荷分より,"8,100.00 ",本,,本,,,指定場所,2023/6/26,,値上げ,1日,,,,,,,,,,,,,
猪木005-141014,猪木01,いぎさんそ,㈲猪木酸素玉島店,31,カップ（SHIELD　CUP）,,H839G02,,"1,400.00 ",個,1,箱,5,個,西工場,2014/5/30,140530,,1日,,,,,,,,,,,,,
猪木241113-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,31,プラズマチップ,プラズマチップ電極,H839G03,CTW-1200(120A）用,370.00 ,個,1,箱,10,個,西工場,2024/11/13,,値上げ,1日,,,,,,,,,,,,,
猪木241113-02,猪木01,いぎさんそ,㈲猪木酸素玉島店,31,電極,,H839M00,CTW-1200(120A）用,660.00 ,個,1,箱,10,個,西工場,2024/11/13,,値上げ,1日,,,,,,,,,,,,,
猪木008-141014,猪木01,いぎさんそ,㈲猪木酸素玉島店,,チップ Φ1.2,,,半自動溶接機用部品,80.00 ,個,,個,,,,,,,1日,,,,,,,,,,,,,
猪木009-141014,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ノズル,,,半自動溶接機用部品,315.00 ,個,,個,,,,,,,1日,,,,,,,,,,,,,
猪木010-141014,猪木01,いぎさんそ,㈲猪木酸素玉島店,,オリフィス,,,半自動溶接機用部品,270.00 ,個,1,箱,10,個,,,,,1日,,,,,,,,,,,,,
猪木220907-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,ダイヘン　コレット,,H950C04,半自動溶接機用部品,900.00 ,個,,個,,,保全,2022/9/7,,,,,,,,,,,,,,,,
猪木012-141014,猪木01,いぎさんそ,㈲猪木酸素玉島店,,コレットボディー,コレット 2.4,,半自動溶接機用部品,"1,050.00 ",個,,個,,,,,,,3日,,,,,,,,,,,,,
猪木013-141014,猪木01,いぎさんそ,㈲猪木酸素玉島店,,イナートノズル,,,半自動溶接機用部品,650.00 ,個,,個,,,,,,,7～14日,,,,,,,,,,,,,
猪木018-150216,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ダイヘン　検出ピンキット,,H813H00,プラズマトーチ用部品　,"10,400.00 ",SET,,SET,,,保全,,,,14～21日,,,,,,,,,,,,,
猪木230626-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,アルゴン　7㎥,溶接用アルゴン,溶接用アルゴン,7/1出荷分より,"6,740.00 ",本,,本,,,指定場所,2023/6/26,,値上げ,1日,,,,,,,,,,,,,
猪木020-150403,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,IK12用火口　No.0,,,,"2,520.00 ",個,,個,,,指定場所,,,,7～14日,,,,,,,,,,,,,
猪木021-150403,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,IK12用火口　No.1,,,,"2,520.00 ",個,,個,,,指定場所,,,,7～14日,,,,,,,,,,,,,
猪木021-150924,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,中切火口　No.2,,,,500.00 ,個,,個,,,指定場所,,,,1日,,,,,,,,,,,,,
猪木022-170327,猪木01,いぎさんそ,㈲猪木酸素玉島店,,LB52 3.2Φ,,,,588.00 ,KG,,KG,,,指定場所,,,,1日,,,,,,,,,,,,,
猪木023-160106,猪木01,いぎさんそ,㈲猪木酸素玉島店,,石筆　2分角,,,,630.00 ,箱,,箱,,,指定場所,,,,1日,,,,,了承,,,,,,,,
猪木024-160620,猪木01,いぎさんそ,㈲猪木酸素玉島店,,送給ローラー,日立　部品,,,"6,500.00 ",個,,個,,,保全,,,,7～14日,,,,,,,,,,,,,
猪木025-160620,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ガイド,,,,"1,250.00 ",本,,本,,,保全,,,,7～14日,,,,,,,,,,,,,
猪木240624-01,猪木01,いぎさんそ,㈲猪木酸素玉島店,73,白ガラス,バラ売り　箱売り（1箱＝100枚）でも単価変動なし,,,15.00 ,枚,,枚,,,保全,2024/6/24,,値上げ,1日,,,,,,,,,,,,,
猪木028-160926,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ヘマトクス,しょうさん,,1kg入り。各種鋳鉄の溶接用,"1,600.00 ",缶,,缶,,,保全,,,,7～10日,,,,,,,,,,,,,
猪木029-161108,猪木01,いぎさんそ,㈲猪木酸素玉島店,,ダイヘン　プラズマ切断機用トーチ,,CTW1201,,"132,000.00 ",本,,本,,,保全,,,,7～14日,,,,,,,,,,,,,
